window_start,window_end,region,count,avg_mag,max_mag,severity_breakdown,alert
2025-11-08T03:57:00Z,2025-11-08T03:58:00Z,"Hughes, Alaska",1,2.2,2.2,{'minor': 1},
2025-11-08T03:56:00Z,2025-11-08T03:57:00Z,"Shungnak, Alaska",1,2.6,2.6,{'minor': 1},
2025-11-08T03:53:00Z,2025-11-08T03:54:00Z,"Mammoth, Wyoming",1,0.21,0.21,{'micro': 1},
2025-11-08T01:49:00Z,2025-11-08T01:50:00Z,"Mammoth, Wyoming",2,0.16,0.28,{'micro': 2},
2025-11-08T03:46:00Z,2025-11-08T03:47:00Z,"Ensenada, B.C., MX",1,2.21,2.21,{'minor': 1},
2025-11-08T03:32:00Z,2025-11-08T03:33:00Z,"McKinney Acres, Texas",1,0.9,0.9,{'micro': 1},
2025-11-08T03:28:00Z,2025-11-08T03:29:00Z,"Point MacKenzie, Alaska",1,2.0,2.0,{'minor': 1},
2025-11-08T03:23:00Z,2025-11-08T03:24:00Z,"Tehachapi, CA",1,1.25,1.25,{'micro': 1},
2025-11-08T02:57:00Z,2025-11-08T02:58:00Z,"College, Alaska",1,1.4,1.4,{'micro': 1},
2025-11-08T02:56:00Z,2025-11-08T02:57:00Z,"Glacier View, Alaska",1,1.6,1.6,{'micro': 1},
2025-11-08T02:54:00Z,2025-11-08T02:55:00Z,"Port Ludlow, Washington",1,1.93,1.93,{'micro': 1},
2025-11-07T22:46:00Z,2025-11-07T22:47:00Z,"Port Ludlow, Washington",1,0.74,0.74,{'micro': 1},
2025-11-08T02:51:00Z,2025-11-08T02:52:00Z,"Enumclaw, Washington",1,1.46,1.46,{'micro': 1},
2025-11-08T02:50:00Z,2025-11-08T02:51:00Z,"Beaumont, CA",1,0.95,0.95,{'micro': 1},
2025-11-08T02:46:00Z,2025-11-08T02:47:00Z,"Johannesburg, CA",1,1.65,1.65,{'micro': 1},
2025-11-07T20:29:00Z,2025-11-07T20:30:00Z,"Johannesburg, CA",1,2.33,2.33,{'minor': 1},
2025-11-08T02:21:00Z,2025-11-08T02:22:00Z,"Vilyuchinsk, Russia",1,4.4,4.4,{'light': 1},
2025-11-08T02:16:00Z,2025-11-08T02:17:00Z,"Tyonek, Alaska",1,-0.44,0.0,{'micro': 1},
2025-11-08T00:41:00Z,2025-11-08T00:42:00Z,"Tyonek, Alaska",1,0.55,0.55,{'micro': 1},
2025-11-07T21:31:00Z,2025-11-07T21:32:00Z,"Tyonek, Alaska",1,-0.39,0.0,{'micro': 1},
2025-11-08T02:10:00Z,2025-11-08T02:11:00Z,"Chenega, Alaska",1,2.4,2.4,{'minor': 1},
2025-11-08T02:05:00Z,2025-11-08T02:06:00Z,"Glen Ellen, CA",1,1.53,1.53,{'micro': 1},
2025-11-08T01:52:00Z,2025-11-08T01:53:00Z,"Happy Valley, Alaska",1,1.6,1.6,{'micro': 1},
2025-11-08T01:46:00Z,2025-11-08T01:47:00Z,the Fiji Islands,1,4.5,4.5,{'light': 1},
2025-11-08T01:35:00Z,2025-11-08T01:36:00Z,"Midland, Texas",1,1.7,1.7,{'micro': 1},
2025-11-08T01:31:00Z,2025-11-08T01:32:00Z,"Levuka, Fiji",1,4.5,4.5,{'light': 1},
2025-11-08T01:05:00Z,2025-11-08T01:06:00Z,"Pedro Bay, Alaska",1,1.74,1.74,{'micro': 1},
2025-11-07T18:00:00Z,2025-11-07T18:01:00Z,"Pedro Bay, Alaska",1,2.5,2.5,{'minor': 1},
2025-11-07T22:54:00Z,2025-11-07T22:55:00Z,"Ruby, Alaska",1,1.9,1.9,{'micro': 1},
2025-11-07T22:52:00Z,2025-11-07T22:53:00Z,"Banning, CA",1,1.06,1.06,{'micro': 1},
2025-11-07T22:52:00Z,2025-11-07T22:53:00Z,"Izu Islands, Japan region",1,4.6,4.6,{'light': 1},
2025-11-07T22:50:00Z,2025-11-07T22:51:00Z,the Loyalty Islands,1,4.9,4.9,{'light': 1},
2025-11-07T22:33:00Z,2025-11-07T22:34:00Z,"Port Alsworth, Alaska",1,3.0,3.0,{'minor': 1},
2025-11-07T22:25:00Z,2025-11-07T22:26:00Z,"Leilani Estates, Hawaii",1,2.13,2.13,{'minor': 1},
2025-11-07T22:02:00Z,2025-11-07T22:03:00Z,Ascension Island,1,4.9,4.9,{'light': 1},
2025-11-07T21:39:00Z,2025-11-07T21:40:00Z,"California City, CA",1,0.98,0.98,{'micro': 1},
2025-11-07T21:23:00Z,2025-11-07T21:24:00Z,"Skwentna, Alaska",1,2.0,2.0,{'minor': 1},
2025-11-07T20:25:00Z,2025-11-07T20:26:00Z,"Skwentna, Alaska",1,1.6,1.6,{'micro': 1},
2025-11-07T20:59:00Z,2025-11-07T21:00:00Z,"Santa Rosalía, Mexico",1,4.6,4.6,{'light': 1},
